Date,Open,High,Low,Close,Adj Close,Volume
2022-11-25,2342.000000,2386.000000,2340.500000,2367.000000,2367.000000,11638740
2022-11-28,2305.000000,2367.500000,2291.000000,2360.500000,2360.500000,17250713
2022-11-29,2382.500000,2418.631104,2382.000000,2400.500000,2400.500000,10578540
2022-11-30,2413.000000,2446.132080,2395.500000,2444.000000,2444.000000,27289569
2022-12-01,2412.500000,2419.405029,2379.500000,2382.000000,2382.000000,9487172
2022-12-02,2358.500000,2385.500000,2331.000000,2365.500000,2365.500000,10479990
2022-12-05,2358.000000,2410.000000,2344.000000,2375.500000,2375.500000,17536845
2022-12-06,2365.000000,2381.500000,2323.000000,2358.500000,2358.500000,15845934
2022-12-07,2328.000000,2349.500000,2305.000000,2315.500000,2315.500000,15940423
2022-12-08,2332.500000,2357.000000,2309.500000,2309.500000,2309.500000,10741116
2022-12-09,2313.000000,2329.186035,2279.000000,2286.000000,2286.000000,15274155
2022-12-12,2263.000000,2305.000000,2263.000000,2295.500000,2295.500000,14463878
2022-12-13,2310.500000,2329.500000,2289.500000,2318.000000,2318.000000,13130629
2022-12-14,2312.000000,2327.500000,2282.500000,2296.000000,2296.000000,18030172
2022-12-15,2278.000000,2312.000000,2270.000000,2289.500000,2289.500000,14734881
2022-12-16,2296.500000,2325.000000,2238.000000,2243.000000,2243.000000,56073586
2022-12-19,2254.500000,2312.500000,2250.500000,2287.000000,2287.000000,14075730
2022-12-20,2268.000000,2319.000000,2263.500000,2307.500000,2307.500000,22457963
2022-12-21,2303.500000,2371.000000,2297.500000,2354.500000,2354.500000,13707976
2022-12-22,2372.000000,2398.500000,2348.229980,2352.500000,2352.500000,11705479
2022-12-23,2354.500000,2366.500000,2343.500000,2366.500000,2366.500000,5855471
2022-12-28,2390.500000,2395.500000,2340.000000,2350.000000,2350.000000,7447764
2022-12-29,2331.000000,2357.000000,2321.500000,2349.500000,2349.500000,7601569
2022-12-30,2345.000000,2346.500000,2326.000000,2326.000000,2326.000000,6999954
2023-01-03,2376.000000,2435.500000,2350.500000,2367.000000,2367.000000,23228380
2023-01-04,2318.500000,2330.742920,2281.000000,2285.000000,2285.000000,28785006
2023-01-05,2296.000000,2324.500000,2283.500000,2311.500000,2311.500000,22924998
2023-01-06,2318.500000,2359.500000,2316.330078,2350.000000,2350.000000,14030116
2023-01-09,2368.000000,2399.169922,2360.500000,2379.000000,2379.000000,21820728
2023-01-10,2374.500000,2397.500000,2366.500000,2376.500000,2376.500000,20100244
2023-01-11,2361.000000,2417.000000,2361.000000,2406.000000,2406.000000,10687496
